545	549	559	568	576	578	582	584	585	589	590	594	603	604	605	606	610	613	623	628	629	632	634	639	643	645	648	655	658	659	660	661	672	675	678	682	688	691	693	696	699	700	717	733	743	750	761	785	786	FE-102	FE-116	FE-122	FE-131	FE-139	FE-14	FE-151	FE-16	FE-161	FE-163	FE-170	FE-188	FE-20	FE-202	FE-206	FE-208	FE-237	FE-242	FE-246	FE-252	FE-263	FE-27	FE-278	FE-28	FE-289	FE-304	FE-316	FE-337	FE-339	FE-340	FE-341	FE-342	FE-343	FE-344	FE-369	FE-370	FE-386	FE-388	FE-39	FE-396	FE-397	FE-4	FE-412	FE-432	FE-438	FE-444	FE-455	FE-458	FE-460	FE-462	FE-467	FE-47	FE-471	FE-48	FE-487	FE-488	FE-498	FE-499	FE-500	FE-516	FE-518	FE-533	FE-537	FE-559	FE-569	FE-600	FE-622	FE-644	FE-647	FE-655	FE-67	FE-685	FE-686	FE-688	FE-7	FE-701	FE-703	FE-710	FE-714	FE-717	FE-719	FE-721	FE-726	FE-728	FE-729	FE-730	FE-733	FE-737	FE-742	FE-743	FE-747	FE-748	FE-750	FE-751	FE-76	FE-760	FE-761	FE-764	FE-768	FE-769	FE-772	FE-773	FE-778	FE-780	FE-787	FE-790	FE-795	FE-94	FE-97	FLC-LB1	FLC-LB2	FLC-LB3	FLC-LB4	FLC-LB5	FLC-LB6	FLC-LB7	FS-180	FS-34	FS-537	FS-590	FS-70	FS-710	FS-715	FS-745	FS-773	FS-821	L10-1	L24-1	L33-1	L37-1	L5-1	L57-1	L58-1	L66-1	L74-1	L78-1	LB10	LB11	LB13	LB14	LB16	LB18	LB19	LB20	LB22	LB23	LB24	LB25	LB28	LB29	LB30	LB35	LB36	LB37	LB40	LB44	LB46	LB8	LB9	LIV-LB34	LIV-LB38	LIV-LB39	LIV-LB47	LIV-LB53	LIV-LB55	LIV-LB57	LIV-LB60	LIV-LB61	LIV-LB63	LIV-LB64	LIV-LB68	LIV-LB72	LIV-LB73	LIV-LB74	LIV-LB76	LIV-LB77	LIV-LB79	LIV-LB80	WB-537	WB-569	WB-581	WB-600	WB-631	WB-633	WB-644	WB-657	WB-670	WB-679	WB-681	WB-685	WB-686	WB-697	WB-710	WB-719	WB-726	WB-730	WB-737	WB-747	WB-751	WB-760	WB-764	WB-768	WB-769	WB-772	WB-773	WB-776	WB-777	WB-778	WB-779	WB-780	WB-790	WB-791	WB-794	WB-795
asv11	699	1774	0	0	0	0	0	0	803	0	0	7184	2598	1930	1703	2013	150	0	1480	0	16969	0	536	0	5163	0	0	0	0	0	0	2049	0	7056	0	2700	0	0	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2503	4820	0	16269	1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1476	0	0	0	2880	0	1291	0	0	0	3660	0	0	1931	0	954	0	6241	1393	947	1043	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	903	1695	0	1011	0	0	0	0	4988	439	0	0	0	755	0	0	0	0	0	2370	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv12	557	2233	965	2003	2679	1966	3134	941	21	264	0	529	628	689	0	603	59	873	89	2316	0	756	0	0	93	0	1059	0	0	3442	543	85	0	0	0	1416	1769	0	1110	0	3849	891	10	0	1659	381	4124	695	2419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	692	1525	931	0	0	0	0	0	0	0	0	0	0	0	0	0	750	445	0	0	2107	0	0	267	0	988	470	0	0	1992	0	0	415	600	0	274	639	552	739	0	692	421	2035	0	1429	0	857	0	0	861	1037	0	720	976	567	0	3149	0	935	0	0	0	0	0	0	39	2219	656	0	1074	1659	426	0	1697	569	0	1300	0	955	0	0	0	345	691	2437	0	0	0	20	0	1536	1287	1004	786	1024	0	1687	0	0	0	0	2092	873	1236
asv13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	562	1236	0	1479	0	0	0	0	952	100	68	0	0	195	989	0	1125	274	0	0	0	0	1183	141	0	797	0	1696	2835	0	60	34	0	407	1390	0	65	2696	0	0	0	3282	42	1457	0	89	0	3710	111	2065	0	154	0	0	0	0	0	258	0	0	1000	69	0	296	0	281	144	0	210	0	0	2069	1509	0	0	298	0	0	2655	1680	0	1747	2164	1730	870	0	739	1073	105	115	201	0	86	45	0	196	1602	0	74	152	68	0	0	131	0	0	135	2267	0	0	0	0	0	0	0	278	140	57	0	339	0	0	472	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6764	0	0	0	0	0	0	0	1528	0	0	0	0	0	0	0	0	0	0	0	0	3097	0	1164	3443	0	0	998	0	0	0	1052	0	0	2890	0	1714	0	0	1552	1411	1413	1755	0	2601	1828	0	0	0	464	0	0	0	154	23
asv14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2365	0	1588	16189	0	0	0	61	0	269	0	141	0	0	0	69	0	0	968	240	92	0	164	2161	0	0	287	353	336	0	0	416	0	0	1943	533	0	0	0	4168	2517	829	2165	0	976	0	492	1532	0	0	2434	0	0	0	0	1768	0	0	0	479	0	42	50	0	131	0	2645	147	85	0	0	0	0	0	108	0	1173	784	1315	142	223	0	0	5938	606	171	1314	773	5049	1521	0	0	924	588	333	24	1429	0	170	348	0	605	0	6754	0	0	0	0	2209	0	0	0	0	0	0	0	0	32	17	0	0	178	0	123	87	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1759	0	0	0	2339	0	1645	234	0	173	0	0	0	0	36014	0	0	0	0	0	1350	415	0	4067	393	0	0	0	0	0	0	899	0	2768	0	863	0	0	0	968	0	326	0	1176	2364	0	0	0	952	1668	0	733	0	926	0	0	0	1171	0	0	0	0	0	0	0	0	2120	888	0	408	257	4254	0	0	0	0	0	0	0	0	211	0	0	0	0	0	625	0	0	0	0	71	0	112	0	0	213	5510	0	0	0	0	0	0	0	495	0	99	1227	452	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asv16	0	381	29	2528	0	0	0	1833	0	0	1521	0	0	107	0	49	0	0	853	766	98	0	129	0	0	0	0	1214	0	0	0	166	0	0	0	0	186	0	1135	1676	5298	0	0	1012	1229	224	2863	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	2117	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	1464	78	0	1347	0	1747	921	0	710	0	0	0	0	841	883	1813	1510	0	0	0	0	0	0	106	0	288	0	0	0	632	0	0	2206	0	2101	52	0	508	0	0	205	485	0	0	0	0	0	1598	2566	0	0	335	0	765	0	0	0	2594	0	0	0	24	1640	0	0	0	0	818	3117	0	0	1305	962	0	837	1254	0	0	0	1499	0	2947	552	805	0	5068	945	922
asv17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	777	0	0	10	0	0	303	418	1644	431	0	0	0	1042	0	0	138	1880	1671	98	0	611	0	0	0	258	0	542	656	122	972	100	1056	0	480	0	381	0	702	760	1286	437	422	0	0	482	557	3533	885	3091	550	0	0	626	518	0	0	0	2060	0	0	1778	904	826	0	352	471	359	0	0	0	0	0	0	894	482	953	285	409	454	101	0	623	1956	620	48	1463	0	423	0	139	0	1337	0	0	244	0	660	485	0	165	0	1241	4527	0	423	0	1002	0	0	0	0	0	0	0	71	63	187	139	94	219	104	0	26	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	898	0	602	0	0	0	0	0	0	0	915	2464	0	621	0	1153	0	0	1345	0	0	1357	1830	1337	0	0	0	0	1539	0	0	0	1275	0
asv18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	442	0	0	2885	0	0	0	143	46	0	34379	0	862	0	0	1077	0	0	0	0	0	0	0	0	0	0	0	493	419	209	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1445	0	0	0	0	0	191	0	0	0	0	122	0	302	0	0	0	0	0	0	0	0	0	0	233	0	379	12	0	749	0	0	0	0	0	280	0	176	16	1240	81	0	569	0	219	2515	167	0	258	0	0	449	0	0	0	0	0	0	0	0	792	0	0	0	0	0	0	0	0	0	0	12	0	221	265	17	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807	1409	1031	0	0	355	0	0	2573	3121	0	0	247	0	0	0	0	0	0	865	0	0	308	3605	0	0	0	0	1829	0	0	0	0	0	1983	783
asv19	0	1243	0	0	0	0	3483	0	77	1710	0	25	0	0	0	2412	377	0	691	877	0	5042	0	0	0	0	0	0	0	0	1032	0	0	0	1075	676	825	3776	954	0	1396	0	2036	1099	5360	8	1173	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2491	0	0	0	587	0	1924	0	0	1333	0	1817	0	0	0	0	80	0	0	0	0	0	0	1237	0	536	741	0	0	0	0	0	742	0	0	0	0	1405	0	0	0	0	557	0	1470	1132	0	0	1182	1167	0	0	0	789	0	0	25	0	1809	0	0	0	0	21	0	0	0	1426	0	0	1232	588	0	331	0	0	0	0	5366	0	0	0	0	0	0
asv20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	2291	0	0	0	204	10424	0	0	0	1370	6195	0	0	0	0	0	0	252	0	0	4860	0	0	0	0	0	0	0	0	11790	4281	0	0	0	432	923	0	1262	0	739	0	0	3950	590	1922	0	0	6623	0	6188	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2644	0	0	0	0	0	0	0	0	0	0
